date,port,coal,state
31/07/2016,Abbot Point,2321999,QLD
31/07/2016,Dalrymple Bay Coal Terminal,5396644,QLD
31/07/2016,Gladstone,5709560,QLD
31/07/2016,Hay Point Coal Terminal,3535507,QLD
31/08/2016,Abbot Point,1807861,QLD
31/08/2016,Dalrymple Bay Coal Terminal,5767330,QLD
31/08/2016,Gladstone,6140270,QLD
31/08/2016,Hay Point Coal Terminal,4539615,QLD
30/09/2016,Abbot Point,2311927,QLD
30/09/2016,Dalrymple Bay Coal Terminal,6669866,QLD
30/09/2016,Gladstone,5462116,QLD
30/09/2016,Hay Point Coal Terminal,4006383,QLD
31/10/2016,Abbot Point,2270621,QLD
31/10/2016,Dalrymple Bay Coal Terminal,5586384,QLD
31/10/2016,Gladstone,5373848,QLD
31/10/2016,Hay Point Coal Terminal,3633759,QLD
30/11/2016,Abbot Point,2107246,QLD
30/11/2016,Dalrymple Bay Coal Terminal,5110098,QLD
30/11/2016,Gladstone,6225330,QLD
30/11/2016,Hay Point Coal Terminal,4315997,QLD
31/12/2016,Abbot Point,2528406,QLD
31/12/2016,Dalrymple Bay Coal Terminal,6597916,QLD
31/12/2016,Gladstone,7116250,QLD
31/12/2016,Hay Point Coal Terminal,3841229,QLD
31/01/2017,Abbot Point,2074889,QLD
31/01/2017,Dalrymple Bay Coal Terminal,5290501,QLD
31/01/2017,Gladstone,5237174,QLD
31/01/2017,Hay Point Coal Terminal,4023743,QLD
28/02/2017,Abbot Point,1792959,QLD
28/02/2017,Dalrymple Bay Coal Terminal,5762670,QLD
28/02/2017,Gladstone,5306622,QLD
28/02/2017,Hay Point Coal Terminal,3847661,QLD
31/03/2017,Abbot Point,2194320,QLD
31/03/2017,Dalrymple Bay Coal Terminal,5043526,QLD
31/03/2017,Gladstone,5706639,QLD
31/03/2017,Hay Point Coal Terminal,3320270,QLD
30/04/2017,Abbot Point,1472507,QLD
30/04/2017,Dalrymple Bay Coal Terminal,1001632,QLD
30/04/2017,Gladstone,4265794,QLD
30/04/2017,Hay Point Coal Terminal,758736,QLD
31/05/2017,Abbot Point,2432984,QLD
31/05/2017,Dalrymple Bay Coal Terminal,4355376,QLD
31/05/2017,Gladstone,6134608,QLD
31/05/2017,Hay Point Coal Terminal,3370276,QLD
30/06/2017,Abbot Point,2092017,QLD
30/06/2017,Dalrymple Bay Coal Terminal,6443205,QLD
30/06/2017,Gladstone,6267697,QLD
30/06/2017,Hay Point Coal Terminal,4236410,QLD
31/07/2017,Abbot Point,2370190,QLD
31/07/2017,Dalrymple Bay Coal Terminal,5816977,QLD
31/07/2017,Gladstone,6051569,QLD
31/07/2017,Hay Point Coal Terminal,4057239,QLD
31/08/2017,Abbot Point,1940659,QLD
31/08/2017,Dalrymple Bay Coal Terminal,6948414,QLD
31/08/2017,Gladstone,5935907,QLD
31/08/2017,Hay Point Coal Terminal,4549431,QLD
30/09/2017,Abbot Point,2364111,QLD
30/09/2017,Dalrymple Bay Coal Terminal,6624714,QLD
30/09/2017,Gladstone,5888635,QLD
30/09/2017,Hay Point Coal Terminal,4407046,QLD
31/10/2017,Abbot Point,2301294,QLD
31/10/2017,Dalrymple Bay Coal Terminal,6643366,QLD
31/10/2017,Gladstone,5788772,QLD
31/10/2017,Hay Point Coal Terminal,2953426,QLD
30/11/2017,Abbot Point,2228428,QLD
30/11/2017,Dalrymple Bay Coal Terminal,5179940,QLD
30/11/2017,Gladstone,5401492,QLD
30/11/2017,Hay Point Coal Terminal,3897416,QLD
31/12/2017,Abbot Point,2491462,QLD
31/12/2017,Dalrymple Bay Coal Terminal,5842314,QLD
31/12/2017,Gladstone,6304506,QLD
31/12/2017,Hay Point Coal Terminal,4721514,QLD
31/01/2018,Abbot Point,2519256,QLD
31/01/2018,Dalrymple Bay Coal Terminal,6711760,QLD
31/01/2018,Gladstone,4717106,QLD
31/01/2018,Hay Point Coal Terminal,4611069,QLD
28/02/2018,Abbot Point,2294099,QLD
28/02/2018,Dalrymple Bay Coal Terminal,5128830,QLD
28/02/2018,Gladstone,4857736,QLD
28/02/2018,Hay Point Coal Terminal,3697410,QLD
31/03/2018,Abbot Point,2144516,QLD
31/03/2018,Dalrymple Bay Coal Terminal,6142532,QLD
31/03/2018,Gladstone,4973315,QLD
31/03/2018,Hay Point Coal Terminal,4025684,QLD
30/04/2018,Abbot Point,2581376,QLD
30/04/2018,Dalrymple Bay Coal Terminal,4017736,QLD
30/04/2018,Gladstone,4560841,QLD
30/04/2018,Hay Point Coal Terminal,3676441,QLD
31/05/2018,Abbot Point,2190734,QLD
31/05/2018,Dalrymple Bay Coal Terminal,5777448,QLD
31/05/2018,Gladstone,6351536,QLD
31/05/2018,Hay Point Coal Terminal,4765790,QLD
30/06/2018,Abbot Point,2566695,QLD
30/06/2018,Dalrymple Bay Coal Terminal,5992937,QLD
30/06/2018,Gladstone,6327648,QLD
30/06/2018,Hay Point Coal Terminal,4249643,QLD
31/07/2018,Abbot Point,2579297,QLD
31/07/2018,Dalrymple Bay Coal Terminal,5625700,QLD
31/07/2018,Gladstone,5783390,QLD
31/07/2018,Hay Point Coal Terminal,4261253,QLD
31/08/2018,Abbot Point,3060420,QLD
31/08/2018,Dalrymple Bay Coal Terminal,5949641,QLD
31/08/2018,Gladstone,5350944,QLD
31/08/2018,Hay Point Coal Terminal,3636590,QLD
30/09/2018,Abbot Point,2368364,QLD
30/09/2018,Dalrymple Bay Coal Terminal,5845357,QLD
30/09/2018,Gladstone,6095253,QLD
30/09/2018,Hay Point Coal Terminal,4173459,QLD
31/10/2018,Abbot Point,2460484,QLD
31/10/2018,Dalrymple Bay Coal Terminal,6003812,QLD
31/10/2018,Gladstone,6690030,QLD
31/10/2018,Hay Point Coal Terminal,4123121,QLD
30/11/2018,Abbot Point,2530013,QLD
30/11/2018,Dalrymple Bay Coal Terminal,6119377,QLD
30/11/2018,Gladstone,6003169,QLD
30/11/2018,Hay Point Coal Terminal,4074373,QLD
31/12/2018,Abbot Point,2461694,QLD
31/12/2018,Dalrymple Bay Coal Terminal,6203232,QLD
31/12/2018,Gladstone,6186643,QLD
31/12/2018,Hay Point Coal Terminal,3630848,QLD
31/01/2019,Abbot Point,1850938,QLD
31/01/2019,Dalrymple Bay Coal Terminal,6533605,QLD
31/01/2019,Gladstone,6453382,QLD
31/01/2019,Hay Point Coal Terminal,4083692,QLD
31/01/2019,Port of Newcastle,13720333,NSW
28/02/2019,Abbot Point,1466258,QLD
28/02/2019,Dalrymple Bay Coal Terminal,4477398,QLD
28/02/2019,Gladstone,5119861,QLD
28/02/2019,Hay Point Coal Terminal,2975361,QLD
28/02/2019,Port of Newcastle,11966936,NSW
31/03/2019,Abbot Point,2622432,QLD
31/03/2019,Dalrymple Bay Coal Terminal,5275392,QLD
31/03/2019,Gladstone,6106566,QLD
31/03/2019,Hay Point Coal Terminal,4652243,QLD
31/03/2019,Port of Newcastle,13439275,NSW
30/04/2019,Abbot Point,2324808,QLD
30/04/2019,Dalrymple Bay Coal Terminal,4939364,QLD
30/04/2019,Gladstone,6201629,QLD
30/04/2019,Hay Point Coal Terminal,3722542,QLD
30/04/2019,Port of Newcastle,13068392,NSW
31/05/2019,Abbot Point,2431602,QLD
31/05/2019,Dalrymple Bay Coal Terminal,5470047,QLD
31/05/2019,Gladstone,5966812,QLD
31/05/2019,Hay Point Coal Terminal,4777489,QLD
31/05/2019,Port of Newcastle,13138716,NSW
30/06/2019,Abbot Point,2786981,QLD
