date,port,coal,,,,,,,,,,,
31/07/2016,Abbot Point,2321999,,,,,,,,,,,
31/07/2016,Dalrymple Bay Coal Terminal,5396644,,,,,,,,,,,
31/07/2016,Hay Point Coal Terminal,3535507,,,,,,,,,,,
31/08/2016,Abbot Point,1807861,,,,,,,,,,,
31/08/2016,Dalrymple Bay Coal Terminal,5767330,,,,,,,,,,,
31/08/2016,Hay Point Coal Terminal,4539615,,,,,,,,,,,
30/09/2016,Abbot Point,2311927,,,,,,,,,,,
30/09/2016,Dalrymple Bay Coal Terminal,6669866,,,,,,,,,,,
30/09/2016,Hay Point Coal Terminal,4006383,,,,,,,,,,,
31/10/2016,Abbot Point,2270621,,,,,,,,,,,
31/10/2016,Dalrymple Bay Coal Terminal,5586384,,,,,,,,,,,
31/10/2016,Hay Point Coal Terminal,3633759,,,,,,,,,,,
30/11/2016,Abbot Point,2107246,,,,,,,,,,,
30/11/2016,Dalrymple Bay Coal Terminal,5110098,,,,,,,,,,,
30/11/2016,Hay Point Coal Terminal,4315997,,,,,,,,,,,
31/12/2016,Abbot Point,2528406,,,,,,,,,,,
31/12/2016,Dalrymple Bay Coal Terminal,6597916,,,,,,,,,,,
31/12/2016,Hay Point Coal Terminal,3841229,,,,,,,,,,,
31/01/2017,Abbot Point,2074889,,,,,,,,,,,
31/01/2017,Dalrymple Bay Coal Terminal,5290501,,,,,,,,,,,
31/01/2017,Hay Point Coal Terminal,4023743,,,,,,,,,,,
28/02/2017,Abbot Point,1792959,,,,,,,,,,,
28/02/2017,Dalrymple Bay Coal Terminal,5762670,,,,,,,,,,,
28/02/2017,Hay Point Coal Terminal,3847661,,,,,,,,,,,
31/03/2017,Abbot Point,2194320,,,,,,,,,,,
31/03/2017,Dalrymple Bay Coal Terminal,5043526,,,,,,,,,,,
31/03/2017,Hay Point Coal Terminal,3320270,,,,,,,,,,,
30/04/2017,Abbot Point,1472507,,,,,,,,,,,
30/04/2017,Dalrymple Bay Coal Terminal,1001632,,,,,,,,,,,
30/04/2017,Hay Point Coal Terminal,758736,,,,,,,,,,,
31/05/2017,Abbot Point,2432984,,,,,,,,,,,
31/05/2017,Dalrymple Bay Coal Terminal,4355376,,,,,,,,,,,
31/05/2017,Hay Point Coal Terminal,3370276,,,,,,,,,,,
30/06/2017,Abbot Point,2092017,,,,,,,,,,,
30/06/2017,Dalrymple Bay Coal Terminal,6443205,,,,,,,,,,,
